Date,Teams,Type,League,Odds,Staked,Won?,Returns,Profit,Final Bankroll,,Stake,£1.97,,,,,,,,,,
14/12/2019,Hallescher FC vs Würzburger Kickers,Under 1.0 FH Goal Line,3. Liga,2.025,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Brest vs Nice,Over 0.5/1.0 FH Goal Line,Ligue 1,1.550,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Benfica vs Famalicão,Over 0.5/1.0 FH Goal Line,Primeira Liga,1.250,£2.56,hw,£2.88,£0.32,,,,,,,,,,,,,,
14/12/2019,Benfica vs Famalicão,Goal In Each Half,Primeira Liga,1.330,£2.56,y,£3.40,£0.84,,,,,,,,,,,,,,
14/12/2019,VVV vs PEC Zwolle,Over 0.5/1.0 FH Goal Line,Eredivisie,1.450,£2.56,y,£3.71,£1.15,,,,,,,,,,,,,,
14/12/2019,Twente vs Vitesse,Over 1.0 FH Goal Line,Eredivisie,1.525,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Genk vs Waasland-Beveren,Over 0.5/1.0 FH Goal Line,Belgium Pro,1.310,£2.56,y,£3.35,£0.79,,,,,,,,,,,,,,
14/12/2019,Rijeka vs Varaždin,Under 1.5 SH Goals,Croatia Premier,1.900,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Southampton vs West Ham United,Under 5 Match Cards,Premier League,1.500,£2.56,y,£3.84,£1.28,,,,,,,,,,,,,,
14/12/2019,Brescia vs Lecce,Over 3 Match Cards,Serie A,1.120,£2.56,y,£2.87,£0.31,,,,,,,,,,,,,,
14/12/2019,Napoli vs Parma,Over 3 Match Cards,Serie A,1.400,£2.56,y,£3.58,£1.02,,,,,,,,,,,,,,
14/12/2019,Atletico Madrid vs Osasuna,Over 3 Match Cards,La Liga,1.200,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Granada vs Levante,Over 3 Match Cards,La Liga,1.220,£2.56,y,£3.12,£0.56,,,,,,,,,,,,,,
14/12/2019,Granada vs Levante,Over 4 Match Cards,La Liga,1.500,£2.56,y,£3.84,£1.28,,,,,,,,,,,,,,
14/12/2019,Zulte-Waregem vs Sint-Truiden,Over 0.5/1.0 FH Goal Line,Belgium Pro,1.375,£2.56,y,£3.52,£0.96,,,,,,,,,,,,,,
14/12/2019,Zlín vs Opava,Under 1.0 FH Goal Line,Czech Liga,1.725,£2.56,y,£4.42,£1.86,,,,,,,,,,,,,,
14/12/2019,Zlín vs Opava,Over 9 Match Corners,Czech Liga,1.720,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Legia Warszawa vs Wisła Płock,Over 1.0 FH Goal Line,Ekstraklasa,1.625,£2.56,y,£4.16,£1.60,,,,,,,,,,,,,,
14/12/2019,Legia Warszawa vs Wisła Płock,Goal In Each Half,Ekstraklasa,1.570,£2.56,y,£4.02,£1.46,£101.49,,,,,,,,,,,,,
15/12/2019,Arsenal - Premier League - England vs Manchester City,BTTS Yes,Premier League,1.500,£2.54,n,£0.00,-£2.54,,,,,,,,,,,,,,
15/12/2019,Arsenal - Premier League - England vs Manchester City,Over 1.0 FH Goal Line,Premier League,1.325,£2.54,y,£3.37,£0.83,,,,,,,,,,,,,,
15/12/2019,Arsenal - Premier League - England vs Manchester City,Goal In Each Half,Premier League,1.300,£2.54,n,£0.00,-£2.54,,,,,,,,,,,,,,
15/12/2019,Manchester United vs Everton,BTTS Yes,Premier League,1.750,£2.54,y,£4.45,£1.91,,,,,,,,,,,,,,
15/12/2019,Manchester United vs Everton,Over 0.5/1.0 FH Goal Line,Premier League,1.475,£2.54,hw,£3.14,£0.60,,,,,,,,,,,,,,
15/12/2019,Manchester United vs Everton,Goal In Each Half,Premier League,1.610,£2.54,y,£4.09,£1.55,,,,,,,,,,,,,,
15/12/2019,Wolverhampton Wanderers vs Tottenham Hotspur,Over 0.5/1.0 FH Goal Line,Premier League,1.550,£2.54,hw,£3.24,£0.70,,,,,,,,,,,,,,
15/12/2019,Wolverhampton Wanderers vs Tottenham Hotspur,Goal In Each Half,Premier League,1.660,£2.54,y,£4.22,£1.68,,,,,,,,,,,,,,
15/12/2019,Wolverhampton Wanderers vs Tottenham Hotspur,Under 11 Match Corners,Premier League,1.720,£2.54,n,£0.00,-£2.54,,,,,,,,,,,,,,
15/12/2019,Celtic vs Hibernian,Over 0.5/1.0 FH Goal Line,Scotland Premier,1.275,£2.54,hw,£2.89,£0.35,,,,,,,,,,,,,,
15/12/2019,Celtic vs Hibernian,Over 1.5 SH Goals,Scotland Premier,1.570,£2.54,n,£0.00,-£2.54,,,,,,,,,,,,,,
15/12/2019,Celtic vs Hibernian,Goal In Each Half,Scotland Premier,1.330,£2.54,y,£3.38,£0.84,,,,,,,,,,,,,,
15/12/2019,Motherwell vs Rangers,Over 0.5/1.0 FH Goal Line,Scotland Premier,1.350,£2.54,hw,£2.98,£0.44,,,,,,,,,,,,,,
15/12/2019,Bologna vs Atalanta,Over 3 Match Cards,Serie A,1.110,£2.54,y,£2.82,£0.28,,,,,,,,,,,,,,
15/12/2019,Fiorentina vs Internazionale,Over 3 Match Cards,Serie A,1.110,£2.54,y,£2.82,£0.28,,,,,,,,,,,,,,
15/12/2019,Hellas Verona vs Torino,Over 3 Match Cards,Serie A,1.280,£2.54,y,£3.25,£0.71,,,,,,,,,,,,,,
15/12/2019,Hellas Verona vs Torino,Over 4 Match Cards,Serie A,1.570,£2.54,n,£0.00,-£2.54,,,,,,,,,,,,,,
15/12/2019,Milan vs Sassuolo,Over 3 Match Cards,Serie A,1.400,£2.54,y,£3.56,£1.02,,,,,,,,,,,,,,
15/12/2019,Roma vs SPAL,Under 1.0 FH Goal Line,Serie A,2.375,£2.54,p,£2.54,£0.00,,,,,,,,,,,,,,
15/12/2019,Cosenza vs Pordenone,Over 1.0 FH Goal Line,Serie B,2.100,£2.54,y,£5.33,£2.79,,,,,,,,,,,,,,
15/12/2019,Lugo vs Sporting Gijón,Under 1.0 FH Goal Line,Spain Segunda,1.600,£2.54,p,£2.54,£0.00,,,,,,,,,,,,,,
15/12/2019,Real Oviedo vs Cádiz,Under 1.5 SH Goals,Spain Segunda,1.440,£2.54,y,£3.66,£1.12,,,,,,,,,,,,,,
15/12/2019,Nürnberg vs Holstein Kiel,Over 1.0 FH Goal Line,2. Bundesliga,1.600,£2.54,p,£2.54,£0.00,,,,,,,,,,,,,,
15/12/2019,Nürnberg vs Holstein Kiel,Goal In Each Half,2. Bundesliga,1.500,£2.54,y,£3.81,£1.27,,,,,,,,,,,,,,
15/12/2019,Nürnberg vs Holstein Kiel,Under 11 Match Corners,2. Bundesliga,1.830,£2.54,y,£4.65,£2.11,,,,,,,,,,,,,,
15/12/2019,Sandhausen vs Hamburger SV,BTTS Yes,2. Bundesliga,1.660,£2.54,y,£4.22,£1.68,,,,,,,,,,,,,,
15/12/2019,Sonnenhof Großaspach vs Carl Zeiss Jena,Over 0.5/1.0 FH Goal Line,3. Liga,1.450,£2.54,y,£3.68,£1.14,,,,,,,,,,,,,,
15/12/2019,Sonnenhof Großaspach vs Carl Zeiss Jena,Goal In Each Half,3. Liga,1.570,£2.54,y,£3.99,£1.45,,,,,,,,,,,,,,
15/12/2019,Feyenoord vs PSV,Over 0.5/1.0 FH Goal Line,Eredivisie,1.375,£2.54,y,£3.49,£0.95,,,,,,,,,,,,,,
15/12/2019,Brøndby vs Hobro,BTTS Yes,Superliga,1.900,£2.54,y,£4.83,£2.29,,,,,,,,,,,,,,
15/12/2019,Brøndby vs Hobro,Over 1.0 FH Goal Line,Superliga,1.700,£2.54,y,£4.32,£1.78,,,,,,,,,,,,,,
15/12/2019,Randers vs Esbjerg,Over 2.5 Goals,Superliga,1.875,£2.54,y,£4.76,£2.22,,,,,,,,,,,,,,
15/12/2019,Randers vs Esbjerg,Over 0.5/1.0 FH Goal Line,Superliga,1.525,£2.54,y,£3.87,£1.33,,,,,,,,,,,,,,
15/12/2019,Horsens vs SønderjyskE,Over 9 Match Corners,Superliga,1.660,£2.54,y,£4.22,£1.68,,,,,,,,,,,,,,
15/12/2019,Lyngby vs Silkeborg,BTTS Yes,Superliga,1.500,£2.54,n,£0.00,-£2.54,,,,,,,,,,,,,,
15/12/2019,Lyngby vs Silkeborg,Over 0.5/1.0 FH Goal Line,Superliga,1.375,£2.54,n,£0.00,-£2.54,,,,,,,,,,,,,,
15/12/2019,Lyngby vs Silkeborg,Goal In Each Half,Superliga,1.500,£2.54,n,£0.00,-£2.54,,,,,,,,,,,,,,
15/12/2019,Chindia Târgovişte vs Hermannstadt,Under 11 Match Corners,Romania Liga,1.360,£2.54,y,£3.45,£0.91,£115.07,,,,,,,,,,,,,
16/12/2019,Cagliari vs Lazio,Over 0.5/1.0 FH Goal Line,Serie A,1.375,£2.88,hw,£3.42,£0.54,,,,,,,,,,,,,,
16/12/2019,Trapani vs Pisa,Over 0.5/1.0 FH Goal Line,Serie B,1.675,£2.88,y,£4.82,£1.94,,,,,,,,,,,,,,
16/12/2019,Ingolstadt vs 1860 München,Over 1.0 FH Goal Line,3. Liga,1.700,£2.88,y,£4.90,£2.02,,,,,,,,,,,,,,
16/12/2019,Hapoel Be'er Sheva vs Beitar Jerusalem,Over 0.5/1.0 FH Goal Line,Isreal,1.750,£2.88,hw,£3.96,£1.08,,,,,,,,,,,,,,
16/12/2019,Cagliari vs Lazio,BTTS Yes,Serie A,1.530,£2.88,y,£4.41,£1.53,,,,,,,,,,,,,,
16/12/2019,Copenhagen vs OB,Over 1.0 FH Goal Line,Superliga,1.770,£2.88,p,£2.88,£0.00,£122.18,,,,,,,,,,,,,
17/12/2019,Borussia Dortmund vs RB Leipzig,Over 2.5 Goals,Bundesliga,1.425,£3.05,y,£4.35,£1.30,,,,,,,,,,,,,,
17/12/2019,Borussia Dortmund vs RB Leipzig,Under 5 Match Cards,Bundesliga,1.610,£3.05,y,£4.91,£1.86,,,,,,,,,,,,,,
17/12/2019,Werder Bremen vs Mainz 05,Over 1.0 FH Goal Line,Bundesliga,1.425,£3.05,y,£4.35,£1.30,,,,,,,,,,,,,,
17/12/2019,Augsburg vs Fortuna Dusseldorf,Over 0.5/1.0 FH Goal Line,Bundesliga,1.650,£3.05,hw,£4.04,£0.99,,,,,,,,,,,,,,
17/12/2019,Augsburg vs Fortuna Dusseldorf,Goal In Each Half,Bundesliga,1.530,£3.05,y,£4.67,£1.62,£129.24,,,,,,,,,,,,,
18/12/2019,Hearts vs Celtic,Over 0.5/1.0 FH Goal Line,Scotland Premier,1.425,£3.23,y,£4.60,£1.37,,,,,,,,,,,,,,
18/12/2019,Brescia vs Sassuolo,Over 3 Match Cards,Serie A,1.200,£3.23,y,£3.88,£0.65,,,,,,,,,,,,,,
18/12/2019,Sampdoria vs Juventus,Over 3 Match Cards,Serie A,1.140,£3.23,y,£3.68,£0.45,,,,,,,,,,,,,,
18/12/2019,Sampdoria vs Juventus,Over 4 Match Cards,Serie A,1.330,£3.23,y,£4.30,£1.07,,,,,,,,,,,,,,
18/12/2019,Bayer Leverkusen vs Hertha BSC,Over 0.5/1.0 FH Goal Line,Bundesliga,1.375,£3.23,n,£0.00,-£3.23,,,,,,,,,,,,,,
18/12/2019,Borussia M'gladbach vs Paderborn,Over 1.0 FH Goal Line,Bundesliga,1.300,£3.23,n,£0.00,-£3.23,,,,,,,,,,,,,,
18/12/2019,Wolfsburg vs Schalke 04,Over 3 Match Cards,Bundesliga,1.800,£3.23,n,£0.00,-£3.23,,,,,,,,,,,,,,
18/12/2019,Xanthi vs Panaitolikos,BTTS No,Hellas Liga,1.700,£3.23,y,£5.49,£2.26,£125.34,,,,,,,,,,,,,
20/12/2019,Fiorentina vs Roma,Under 1.0 FH Goal Line,Serie A,2.100,£3.13,n,£0.00,-£3.13,,,,,,,,,,,,,,
20/12/2019,Fiorentina vs Roma,Over 3 Match Cards,Serie A,1.120,£3.13,y,£3.51,£0.38,,,,,,,,,,,,,,
20/12/2019,Hoffenheim vs Borussia Dortmund,Over 0.5/1.0 FH Goal Line,Bundesliga,1.325,£3.13,hw,£3.64,£0.51,,,,,,,,,,,,,,
20/12/2019,Nürnberg vs Dynamo Dresden,Over 0.5/1.0 FH Goal Line,2. Bundesliga,1.425,£3.13,hw,£3.80,£0.67,,,,,,,,,,,,,,
20/12/2019,Nürnberg vs Dynamo Dresden,Under 11 Match Corners,2. Bundesliga,1.570,£3.13,n,£0.00,-£3.13,,,,,,,,,,,,,,
20/12/2019,Karlsruher SC vs Wehen Wiesbaden,Over 0.5/1.0 FH Goal Line,2. Bundesliga,1.375,£3.13,n,£0.00,-£3.13,,,,,,,,,,,,,,
20/12/2019,Grenoble Foot 38 vs Rodez,Under 1.0 FH Goal Line,Ligue 2,1.525,£3.13,p,£3.13,£0.00,,,,,,,,,,,,,,
20/12/2019,Auxerre vs Nancy,Under 2.5 Goals,Ligue 2,1.500,£3.13,y,£4.70,£1.57,,,,,,,,,,,,,,
20/12/2019,Quevilly Rouen vs Toulon,Over 0.5/1.0 FH Goal Line,National 1,1.825,£3.13,hw,£4.42,£1.29,,,,,,,,,,,,,,
20/12/2019,Cholet vs Dunkerque,Over 0.5/1.0 FH Goal Line,National 1,1.660,£3.13,hw,£4.16,£1.03,,,,,,,,,,,,,,
20/12/2019,Volendam vs De Graafschap,BTTS Yes,Eerste Divisie,1.500,£3.13,y,£4.70,£1.57,,,,,,,,,,,,,,
20/12/2019,Eindhoven vs NEC,Over 1.5 SH Goals,Eerste Divisie,1.720,£3.13,y,£5.38,£2.25,,,,,,,,,,,,,,
20/12/2019,Eindhoven vs NEC,Over 9 Match Corners,Eerste Divisie,1.660,£3.13,y,£5.20,£2.07,,,,,,,,,,,,,,
20/12/2019,Ajax II vs TOP Oss,Over 1.0 FH Goal Line,Eerste Divisie,1.325,£3.13,p,£3.13,£0.00,,,,,,,,,,,,,,
20/12/2019,Utrecht II vs Go Ahead Eagles,BTTS Yes,Eerste Divisie,1.530,£3.13,n,£0.00,-£3.13,£124.15,,,,,,,,,,,,,
21/12/2019,Aston Villa vs Southampton,Over 10 Match Corners,Premier League,1.660,£3.10,y,£5.15,£2.05,,,,,,,,,,,,,,
21/12/2019,Aston Villa vs Southampton,Over 9 Match Corners,Premier League,1.440,£3.10,y,£4.46,£1.36,,,,,,,,,,,,,,
21/12/2019,Brighton & Hove Albion vs Sheffield United,Under 5 Match Cards,Premier League,1.250,£3.10,y,£3.88,£0.78,,,,,,,,,,,,,,
21/12/2019,Norwich City vs Wolverhampton Wanderers,BTTS Yes,Premier League,1.700,£3.10,y,£5.27,£2.17,,,,,,,,,,,,,,
21/12/2019,Norwich City vs Wolverhampton Wanderers,Over 1.0 FH Goal Line,Premier League,1.775,£3.10,p,£3.10,£0.00,,,,,,,,,,,,,,
21/12/2019,Coventry City vs Lincoln City,Under 1.5 SH Goals,League One,1.570,£3.10,y,£4.87,£1.77,,,,,,,,,,,,,,
21/12/2019,Oxford United vs Wycombe Wanderers,BTTS No,League One,1.950,£3.10,y,£6.05,£2.95,,,,,,,,,,,,,,
21/12/2019,Tranmere Rovers vs AFC Wimbledon,Over 0.5/1.0 FH Goal Line,League One,1.525,£3.10,hw,£3.91,£0.81,,,,,,,,,,,,,,
21/12/2019,Hull City vs Birmingham City,Over 1.5 SH Goals,Championship,2.000,£3.10,y,£6.20,£3.10,,,,,,,,,,,,,,
21/12/2019,Millwall vs Barnsley,BTTS Yes,Championship,1.660,£3.10,y,£5.15,£2.05,,,,,,,,,,,,,,
21/12/2019,Millwall vs Barnsley,Over 1.5 SH Goals,Championship,1.900,£3.10,y,£5.89,£2.79,,,,,,,,,,,,,,
21/12/2019,Queens Park Rangers vs Charlton Athletic,Over 0.5/1.0 FH Goal Line,Championship,1.400,£3.10,hw,£3.72,£0.62,,,,,,,,,,,,,,
21/12/2019,Mansfield Town vs Northampton Town,Over 1.0 FH Goal Line,League Two,1.900,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Stevenage vs Crewe Alexandra,Under 1.5 SH Goals,League Two,1.660,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Bromley vs Eastleigh,BTTS Yes,National League,1.660,£3.10,y,£5.15,£2.05,,,,,,,,,,,,,,
21/12/2019,Torquay United vs Chesterfield,BTTS Yes,National League,1.600,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Torquay United vs Chesterfield,Over 2.5 Goals,National League,1.530,£3.10,y,£4.74,£1.64,,,,,,,,,,,,,,
21/12/2019,Hamilton Academical vs Hearts,Under 1.5 SH Goals,Scotland Premier,1.610,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Dundee United vs Ayr United,Over 1.0 FH Goal Line,Scotland Championship,1.600,£3.10,p,£3.10,£0.00,,,,,,,,,,,,,,
21/12/2019,Queen of the South vs Arbroath,Over 0.5/1.0 FH Goal Line,Scotland Championship,1.625,£3.10,hw,£4.07,£0.97,,,,,,,,,,,,,,
21/12/2019,Stranraer vs Forfar Athletic,Under 1.0 FH Goal Line,Scotland League One,2.075,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Torino vs SPAL,Over 3 Match Cards,Serie A,1.140,£3.10,y,£3.53,£0.43,,,,,,,,,,,,,,
21/12/2019,Udinese vs Cagliari,Over 0.5/1.0 FH Goal Line,Serie A,1.500,£3.10,hw,£3.88,£0.78,,,,,,,,,,,,,,
21/12/2019,Benevento vs Frosinone,Under 2.5 Goals,Serie B,1.650,£3.10,y,£5.12,£2.02,,,,,,,,,,,,,,
21/12/2019,Empoli vs Salernitana,Over 0.5/1.0 FH Goal Line,Serie B,1.575,£3.10,y,£4.88,£1.78,,,,,,,,,,,,,,
21/12/2019,Juve Stabia vs Venezia,Over 0.5/1.0 FH Goal Line,Serie B,1.650,£3.10,hw,£4.11,£1.01,,,,,,,,,,,,,,
21/12/2019,Perugia vs Virtus Entella,Over 1.0 FH Goal Line,Serie B,2.025,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Mallorca vs Sevilla,Over 1.0 FH Goal Line,La Liga,1.875,£3.10,p,£3.10,£0.00,,,,,,,,,,,,,,
21/12/2019,Villarreal vs Getafe,Under 1.0 FH Goal Line,La Liga,1.650,£3.10,y,£5.12,£2.02,,,,,,,,,,,,,,
21/12/2019,Las Palmas vs Rayo Vallecano,Over 1.0 FH Goal Line,Spain Segunda,1.950,£3.10,y,£6.05,£2.95,,,,,,,,,,,,,,
21/12/2019,Racing Santander vs Real Oviedo,Over 0.5/1.0 FH Goal Line,Spain Segunda,1.800,£3.10,hw,£4.34,£1.24,,,,,,,,,,,,,,
21/12/2019,Racing Santander vs Real Oviedo,Goal In Each Half,Spain Segunda,2.050,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,RB Leipzig vs Augsburg,Over 1.0 FH Goal Line,Bundesliga,1.325,£3.10,p,£3.10,£0.00,,,,,,,,,,,,,,
21/12/2019,Mainz 05 vs Bayer Leverkusen,Over 3 Match Cards,Bundesliga,1.300,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Köln vs Werder Bremen,Over 0.5/1.0 FH Goal Line,Bundesliga,1.400,£3.10,hw,£3.72,£0.62,,,,,,,,,,,,,,
21/12/2019,Köln vs Werder Bremen,Goal In Each Half,Bundesliga,1.500,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Hannover 96 vs Stuttgart,Over 1.0 FH Goal Line,2. Bundesliga,1.700,£3.10,p,£3.10,£0.00,,,,,,,,,,,,,,
21/12/2019,Darmstadt 98 vs Hamburger SV,BTTS Yes,2. Bundesliga,1.720,£3.10,y,£5.33,£2.23,,,,,,,,,,,,,,
21/12/2019,Preußen Münster vs 1860 München,BTTS Yes,3. Liga,1.570,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Preußen Münster vs 1860 München,Over 0.5/1.0 FH Goal Line,3. Liga,1.475,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Preußen Münster vs 1860 München,Goal In Each Half,3. Liga,1.570,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Zwickau vs Meppen,Over 0.5/1.0 FH Goal Line,3. Liga,1.450,£3.10,y,£4.50,£1.40,,,,,,,,,,,,,,
21/12/2019,Dijon vs Metz,Under 1.5 SH Goals,Ligue 1,1.440,£3.10,y,£4.46,£1.36,,,,,,,,,,,,,,
21/12/2019,Nice vs Toulouse,Over 1.0 FH Goal Line,Ligue 1,1.725,£3.10,y,£5.35,£2.25,,,,,,,,,,,,,,
21/12/2019,PSG vs Amiens SC,Over 1.0 FH Goal Line,Ligue 1,1.240,£3.10,p,£3.10,£0.00,,,,,,,,,,,,,,
21/12/2019,Troyes vs Ajaccio,Under 1.5 SH Goals,Ligue 2,1.400,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Willem II vs Fortuna Sittard,Over 1.0 FH Goal Line,Eredivisie,1.475,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,NAC Breda vs Dordrecht,Over 0.5/1.0 FH Goal Line,Eerste Divisie,1.325,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,AS Eupen vs Kortrijk,Under 1.0 FH Goal Line,Belgium Pro,1.975,£3.10,n,£0.00,-£3.10,,,,,,,,,,,,,,
21/12/2019,Cercle Brugge vs Zulte-Waregem,Over 0.5/1.0 FH Goal Line,Belgium Pro,1.400,£3.10,hw,£3.72,£0.62,,,,,,,,,,,,,,
21/12/2019,Waasland-Beveren vs Standard Liège,Over 0.5/1.0 FH Goal Line,Belgium Pro,1.375,£3.10,hw,£3.68,£0.58,,,,,,,,,,,,,,
21/12/2019,Waasland-Beveren vs Standard Liège,Goal In Each Half,Belgium Pro,1.500,£3.10,y,£4.65,£1.55,£122.46,,,,,,,,,,,,,
22/12/2019,Atalanta vs Milan,Over 3 Match Cards,Serie A,1.200,£3.06,y,£3.67,£0.61,,,,,,,,,,,,,,
22/12/2019,Atalanta vs Milan,Over 4 Match Cards,Serie A,1.440,£3.06,y,£4.41,£1.35,,,,,,,,,,,,,,
22/12/2019,Lecce vs Bologna,Over 3 Match Cards,Serie A,1.140,£3.06,y,£3.49,£0.43,,,,,,,,,,,,,,
22/12/2019,Lecce vs Bologna,Over 4 Match Cards,Serie A,1.360,£3.06,y,£4.16,£1.10,,,,,,,,,,,,,,
22/12/2019,Sassuolo vs Napoli,BTTS Yes,Serie A,1.570,£3.06,y,£4.80,£1.74,,,,,,,,,,,,,,
22/12/2019,Sassuolo vs Napoli,Over 0.5/1.0 FH Goal Line,Serie A,1.350,£3.06,hw,£3.60,£0.54,,,,,,,,,,,,,,
22/12/2019,Sassuolo vs Napoli,Over 3 Match Cards,Serie A,1.330,£3.06,y,£4.07,£1.01,,,,,,,,,,,,,,
22/12/2019,Sassuolo vs Napoli,Over 4 Match Cards,Serie A,1.660,£3.06,n,£0.00,-£3.06,,,,,,,,,,,,,,
22/12/2019,Pisa vs Cosenza,Over 1.0 FH Goal Line,Serie B,2.100,£3.06,y,£6.43,£3.37,,,,,,,,,,,,,,
22/12/2019,Levante vs Celta Vigo,BTTS Yes,La Liga,1.570,£3.06,y,£4.80,£1.74,,,,,,,,,,,,,,
22/12/2019,Fortuna Dusseldorf vs Union Berlin,Over 0.5/1.0 FH Goal Line,Bundesliga,1.550,£3.06,hw,£3.90,£0.84,,,,,,,,,,,,,,
22/12/2019,Paderborn vs Eintracht Frankfurt,Over 10 Match Corners,Bundesliga,1.720,£3.06,y,£5.26,£2.20,,,,,,,,,,,,,,
22/12/2019,Paderborn vs Eintracht Frankfurt,Over 9 Match Corners,Bundesliga,1.440,£3.06,y,£4.41,£1.35,,,,,,,,,,,,,,
22/12/2019,Bochum vs Jahn Regensburg,Over 0.5/1.0 FH Goal Line,2. Bundesliga,1.375,£3.06,y,£4.21,£1.15,,,,,,,,,,,,,,
22/12/2019,Sandhausen vs Holstein Kiel,BTTS Yes,2. Bundesliga,1.570,£3.06,y,£4.80,£1.74,,,,,,,,,,,,,,
22/12/2019,Sandhausen vs Holstein Kiel,Over 1.0 FH Goal Line,2. Bundesliga,1.725,£3.06,p,£3.06,£0.00,,,,,,,,,,,,,,
22/12/2019,Ingolstadt vs Carl Zeiss Jena,Over 1.0 FH Goal Line,3. Liga,1.550,£3.06,y,£4.74,£1.68,,,,,,,,,,,,,,
22/12/2019,Ingolstadt vs Carl Zeiss Jena,Goal In Each Half,3. Liga,1.500,£3.06,y,£4.59,£1.53,,,,,,,,,,,,,,
22/12/2019,Ajax vs ADO Den Haag,Over 1.0 FH Goal Line,Eredivisie,1.180,£3.06,y,£3.61,£0.55,,,,,,,,,,,,,,
22/12/2019,Groningen vs Emmen,Under 1.5 SH Goals,Eredivisie,1.830,£3.06,n,£0.00,-£3.06,,,,,,,,,,,,,,
22/12/2019,Telstar vs AZ II,Over 0.5/1.0 FH Goal Line,Eerste Divisie,1.400,£3.06,hw,£3.67,£0.61,,,,,,,,,,,,,,
22/12/2019,Gent vs Club Brugge,Over 0.5/1.0 FH Goal Line,Belgium Pro,1.425,£3.06,n,£0.00,-£3.06,,,,,,,,,,,,,,
22/12/2019,Gençlerbirliği vs Sivasspor,Over 0.5/1.0 FH Goal Line,Super-Lig,1.400,£3.06,hw,£3.67,£0.61,,,,,,,,,,,,,,
22/12/2019,Panaitolikos vs OFI,Under 11 Match Corners,Hellas Liga,1.200,£3.06,y,£3.67,£0.61,,,,,,,,,,,,,,
22/12/2019,BB Erzurumspor vs Altay,Under 1.0 FH Goal Line,Turkey 2,1.825,£3.06,n,£0.00,-£3.06,£135.00,,,,,,,,,,,,,
23/12/2019,Denizlispor vs Alanyaspor,Under 1.0 FH Goal Line,Super-Lig,1.750,£3.37,n,£0.00,-£3.37,,,,,,,,,,,,,,
24/12/2019,Bnei Yehuda vs Maccabi Tel Aviv,Over 0.5/1.0 FH Goal Line,Isreal,1.630,£3.29,y,£5.36,£2.07,,,,,,,,,,,,,,
25/12/2019,Hapoel Tel Aviv vs Ashdod,Over 0.5/1.0 FH Goal Line,Isreal,1.770,£3.34,n,£0.00,-£3.34,,,,,,,,,,,,,,
26/12/2019,Aston Villa vs Norwich City,Over 9 Match Corners,Premier League,1.400,£3.26,y,£4.56,£1.30,,,,,,,,,,,,,,
26/12/2019,Tottenham Hotspur vs Brighton & Hove Albion,Over 1.0 FH Goal Line,Premier League,1.600,£3.26,p,£3.26,£0.00,,,,,,,,,,,,,,
26/12/2019,Oxford United vs Lincoln City,BTTS No,League One,1.900,£3.26,y,£6.19,£2.93,,,,,,,,,,,,,,
26/12/2019,Rochdale vs Fleetwood Town,Over 0.5/1.0 FH Goal Line,League One,1.600,£3.26,hw,£4.24,£0.98,,,,,,,,,,,,,,
26/12/2019,Sunderland vs Bolton Wanderers,Over 1.0 FH Goal Line,League One,1.690,£3.26,n,£0.00,-£3.26,,,,,,,,,,,,,,
26/12/2019,Hull City vs Nottingham Forest,Over 0.5/1.0 FH Goal Line,Championship,1.525,£3.26,hw,£4.12,£0.86,,,,,,,,,,,,,,
26/12/2019,Cheltenham Town vs Plymouth Argyle,Over 0.5/1.0 FH Goal Line,League Two,1.550,£3.26,hw,£4.16,£0.90,,,,,,,,,,,,,,
26/12/2019,Cheltenham Town vs Plymouth Argyle,Under 1.5 SH Goals,League Two,1.720,£3.26,y,£5.61,£2.35,,,,,,,,,,,,,,
