Date,Teams,Type,League,Odds,Staked,Won?,Returns,Profit,Final Bankroll,,Stake,£1.97,,,,,,,,,,
07/12/2019,Stenhousemuir vs Annan Athletic,Over 1.0 FH Goal Line,Scotland League Two,1.750,£2.49,y,£4.36,£1.87,,,,,,League,Bets,Win%,Win/Push %,Profit,Staked,ROI,Avg Odds,
07/12/2019,Empoli vs Ascoli,Over 1.0 FH Goal Line,Serie B,1.725,£2.49,p,£2.49,£0.00,,,Check Odds,,,Premier League,43,39.53%,74.42%,-£0.21,£110.17,-0.19%,1.50,
07/12/2019,RB Leipzig vs Hoffenheim,BTTS Yes,Bundesliga,1.570,£2.49,y,£3.91,£1.42,,,,,,Championship,24,58.33%,87.50%,£19.69,£61.20,32.18%,1.55,
07/12/2019,Bayer Leverkusen vs Schalke 04,BTTS Yes,Bundesliga,1.610,£2.49,y,£4.01,£1.52,,,,,,League One,17,35.29%,64.71%,-£1.36,£45.34,-3.00%,1.63,
07/12/2019,Bayer Leverkusen vs Schalke 04,Over 1.0 FH Goal Line,Bundesliga,1.675,£2.49,p,£2.49,£0.00,,,,,,League Two,26,19.23%,57.69%,-£5.32,£58.63,-9.07%,1.65,
07/12/2019,Borussia M'gladbach vs Bayern Munich,Over 1.0 FH Goal Line,Bundesliga,1.350,£2.49,n,£0.00,-£2.49,,,,,,National League,21,38.10%,47.62%,-£13.05,£57.38,-22.74%,1.65,
07/12/2019,Holstein Kiel vs Osnabrück,Over 1.0 FH Goal Line,2. Bundesliga,1.600,£2.49,y,£3.98,£1.49,,,,,,National League North,13,30.77%,69.23%,-£0.28,£28.37,-0.99%,1.58,
07/12/2019,Würzburger Kickers vs Viktoria Köln,Over 1.0 FH Goal Line,3. Liga,1.525,£2.49,n,£0.00,-£2.49,,,,,,National League South,14,50.00%,50.00%,-£0.75,£26.20,-2.85%,1.52,
07/12/2019,Kaiserslautern vs Hallescher FC,Over 1.0 FH Goal Line,3. Liga,1.900,£2.49,n,£0.00,-£2.49,,,,,,Scotland Premier,14,28.57%,50.00%,-£6.67,£33.44,-19.96%,1.55,
07/12/2019,1860 München vs Sonnenhof Großaspach,Over 1.0 FH Goal Line,3. Liga,1.650,£2.49,p,£2.49,£0.00,,,,,,Scotland Championship,10,20.00%,60.00%,-£1.75,£24.49,,1.63,
07/12/2019,Magdeburg vs Ingolstadt,Over 1.0 FH Goal Line,3. Liga,1.975,£2.49,p,£2.49,£0.00,,,,,,Scotland League One,11,36.36%,45.45%,-£2.80,£20.77,-13.46%,1.63,
07/12/2019,Nice vs Metz,Over 1.0 FH Goal Line,Ligue 1,2.050,£2.49,y,£5.10,£2.61,,,,,,Scotland League Two,15,66.67%,86.67%,£12.87,£33.68,38.23%,1.59,
07/12/2019,Strasbourg vs Toulouse,Over 1.0 FH Goal Line,Ligue 1,1.825,£2.49,y,£4.54,£2.05,,,,,,Wales,0,#DIV/0!,#DIV/0!,£0.00,£0.00,,#DIV/0!,
07/12/2019,Monaco vs Amiens SC,Over 1.0 FH Goal Line,Ligue 1,1.575,£2.49,n,£0.00,-£2.49,,,,,,Serie A,86,61.63%,73.26%,£3.04,£200.75,1.51%,1.40,
07/12/2019,PEC Zwolle vs AZ,Over 1.0 FH Goal Line,Eredivisie,1.525,£2.49,y,£3.80,£1.31,,,,,,Serie B,22,31.82%,63.64%,£1.61,£54.85,2.94%,1.74,
07/12/2019,VVV vs Emmen,Over 1.0 FH Goal Line,Eredivisie,1.625,£2.49,p,£2.49,£0.00,,,,,,La Liga,23,65.22%,73.91%,£6.24,£49.29,12.66%,1.47,
07/12/2019,Salzburg vs Swarovski Tirol,Over 2.5 Goals,Austria,1.180,£2.49,y,£2.94,£0.45,,,,,,Spain Segunda,18,33.33%,61.11%,£1.82,£37.46,4.86%,1.60,
07/12/2019,Salzburg vs Swarovski Tirol,Over 1.0 FH Goal Line,Austria,1.190,£2.49,y,£2.96,£0.47,,,,,,Bundesliga,37,37.84%,67.57%,-£3.34,£93.76,-3.56%,1.45,
07/12/2019,Gent vs Zulte-Waregem,Over 1.0 FH Goal Line,Belgium Pro,1.375,£2.49,y,£3.42,£0.93,,,,,,2. Bundesliga,16,56.25%,81.25%,£6.39,£44.80,14.25%,1.58,
07/12/2019,Cercle Brugge vs Genk,Over 1.0 FH Goal Line,Belgium Pro,1.625,£2.49,p,£2.49,£0.00,,,,,,3. Liga,19,42.11%,52.63%,-£5.20,£43.97,-11.84%,1.60,
07/12/2019,Inter Zaprešić vs Hajduk Split,Over 1.0 FH Goal Line,Croatia Premier,1.800,£2.49,y,£4.48,£1.99,,,,,,Ligue 1,13,38.46%,69.23%,£1.63,£32.77,4.96%,1.65,
07/12/2019,Akhmat Grozny vs Ufa,Under 2.5 Goals,Russia Premier,1.400,£2.49,y,£3.49,£1.00,,,,,,Ligue 2,12,41.67%,66.67%,£4.25,£23.62,18.00%,1.47,
07/12/2019,Slovácko vs Viktoria Plzen,Over 1.0 FH Goal Line,Czech Liga,2.250,£2.49,y,£5.60,£3.11,,,,,,National 1,13,23.08%,53.85%,£1.80,£23.50,7.65%,1.78,
07/12/2019,Young Boys vs Luzern,Over 1.0 FH Goal Line,Swiss Super,1.325,£2.49,n,£0.00,-£2.49,,,,,,Primeira Liga,9,22.22%,55.56%,-£6.11,£21.57,,1.53,
07/12/2019,Galatasaray vs Alanyaspor,Under 2.5 Goals,Super-Lig,2.000,£2.49,y,£4.98,£2.49,,,,,,Segunda Liga,6,33.33%,66.67%,-£0.41,£14.00,,1.65,
07/12/2019,Consadole Sapporo vs Kawasaki Frontale,Over 1.0 FH Goal Line,J1 League,1.575,£2.49,y,£3.92,£1.43,,,,,,Eredivisie,17,41.18%,58.82%,-£4.31,£38.75,-11.13%,1.48,
07/12/2019,Shimizu S-Pulse vs Sagan Tosu,Over 1.0 FH Goal Line,J1 League,1.775,£2.49,n,£0.00,-£2.49,£109.24,,,,,Eerste Divisie,26,46.15%,69.23%,£7.36,£55.96,13.16%,1.46,
08/12/2019,Bologna vs Milan,Over 3 Match Cards,Serie A,1.200,£2.73,y,£3.28,£0.55,,,,,,Austria,2,100.00%,100.00%,£0.92,£4.98,,1.19,
08/12/2019,Sampdoria vs Parma,Over 3 Match Cards,Serie A,1.200,£2.73,y,£3.28,£0.55,,,,,,Austria 2,0,#DIV/0!,#DIV/0!,£0.00,£0.00,,#DIV/0!,
08/12/2019,Sassuolo vs Cagliari,Over 9 Match Corners,Serie A,1.530,£2.73,y,£4.18,£1.45,,,,,,Superliga,16,43.75%,50.00%,-£8.07,£41.76,-19.31%,1.73,
08/12/2019,Sassuolo vs Cagliari,Over 3 Match Cards,Serie A,1.200,£2.73,y,£3.28,£0.55,,,,,,Norway Eliteserien,0,#DIV/0!,#DIV/0!,£0.00,£0.00,,#DIV/0!,
08/12/2019,Torino vs Fiorentina,Over 3 Match Cards,Serie A,1.360,£2.73,y,£3.71,£0.98,,,,,,Allsvenskan,0,#DIV/0!,#DIV/0!,£0.00,£0.00,,#DIV/0!,
08/12/2019,Real Valladolid vs Real Sociedad,Over 1.0 FH Goal Line,La Liga,2.150,£2.73,n,£0.00,-£2.73,,,,,,Veikkausliiga,0,#DIV/0!,#DIV/0!,£0.00,£0.00,,#DIV/0!,
08/12/2019,Werder Bremen vs Paderborn,Over 1.0 FH Goal Line,Bundesliga,1.325,£2.73,n,£0.00,-£2.73,,,,,,Belgium Pro,14,28.57%,64.29%,-£9.25,£40.34,-22.94%,1.53,
08/12/2019,Reims vs Saint-Etienne,Under 1.5 SH Goals,Ligue 1,1.440,£2.73,n,£0.00,-£2.73,,,,,,Czech Liga,3,66.67%,66.67%,£2.41,£7.61,,1.90,
08/12/2019,Feirense vs Benfica II,Under 1.5 SH Goals,Segunda Liga,1.720,£2.73,y,£4.70,£1.97,,,,,,Croatia Premier,3,33.33%,66.67%,-£0.03,£7.49,,1.71,
08/12/2019,Vitesse vs Feyenoord,Over 1.0 FH Goal Line,Eredivisie,1.450,£2.73,n,£0.00,-£2.73,,,,,,Ekstraklasa,4,50.00%,50.00%,-£1.82,£10.00,,1.74,
08/12/2019,Groningen vs Utrecht,Under 1.5 SH Goals,Eredivisie,2.200,£2.73,y,£6.01,£3.28,,,,,,Russia Premier,2,50.00%,50.00%,-£1.73,£5.22,,1.54,
08/12/2019,SønderjyskE vs Esbjerg,Over 9 Match Corners,Superliga,1.720,£2.73,n,£0.00,-£2.73,,,,,,Swiss Super,1,0.00%,0.00%,-£2.49,£2.49,,1.33,
08/12/2019,Nordsjælland vs Copenhagen,Under 11 Match Corners,Superliga,1.570,£2.73,y,£4.29,£1.56,,,,,,Super-Lig,10,20.00%,40.00%,-£8.56,£24.91,,1.65,
08/12/2019,AGF vs Lyngby,BTTS Yes,Superliga,1.660,£2.73,y,£4.53,£1.80,,,,,,Turkey 2,4,50.00%,50.00%,-£2.48,£9.64,,1.69,
08/12/2019,AGF vs Lyngby,Over 2.5 Goals,Superliga,1.500,£2.73,n,£0.00,-£2.73,,,,,,Ireland Premier,0,#DIV/0!,#DIV/0!,£0.00,£0.00,,#DIV/0!,
08/12/2019,AGF vs Lyngby,Over 1.5 SH Goals,Superliga,2.370,£2.73,n,£0.00,-£2.73,,,,,,Hellas Liga,6,50.00%,66.67%,-£0.43,£15.14,,1.40,
08/12/2019,Krylya Sovetov vs Ural,Under 1.0 FH Goal Line,Russia Premier,1.675,£2.73,n,£0.00,-£2.73,,,,,,Romania Liga,1,100.00%,100.00%,£0.91,£2.54,,1.36,
08/12/2019,Denizlispor vs Istanbul Basaksehir,Under 1.0 FH Goal Line,Super-Lig,1.725,£2.73,y,£4.71,£1.98,,,,,,Serbia,2,0.00%,100.00%,£0.00,£5.46,,1.76,
08/12/2019,Senica vs Žilina,Under 1.0 FH Goal Line,Slovakia,1.360,£2.73,n,£0.00,-£2.73,,,,,,Slovakia,1,0.00%,0.00%,-£2.73,£2.73,,1.36,
08/12/2019,Proleter Novi Sad vs Čukarički,Under 1.0 FH Goal Line,Serbia,1.700,£2.73,p,£2.73,£0.00,,,,,,Brasil Serie A,2,0.00%,50.00%,-£2.73,£5.46,,1.82,
08/12/2019,Bačka Topola vs Vojvodina,Over 1.0 FH Goal Line,Serbia,1.825,£2.73,p,£2.73,£0.00,,,,,,Brasil Serie B,0,#DIV/0!,#DIV/0!,£0.00,£0.00,,#DIV/0!,
08/12/2019,Vasco da Gama vs Chapecoense,Under 1.5 SH Goals,Brasil Serie A,1.660,£2.73,n,£0.00,-£2.73,,,,,,Liga MX,3,33.33%,66.67%,-£0.97,£6.52,,1.43,
08/12/2019,Botafogo vs Ceará,Under 1.0 FH Goal Line,Brasil Serie A,1.975,£2.73,p,£2.73,£0.00,£96.58,,,,,CSL,0,#DIV/0!,#DIV/0!,£0.00,£0.00,,#DIV/0!,
09/12/2019,West Ham United vs Arsenal - Premier League - England,Over 1.0 FH Goal Line,Premier League,1.425,£2.41,p,£2.41,£0.00,,,,,,J1 League,2,50.00%,50.00%,-£1.06,£4.98,,1.68,
