28/01/2020,Ebbsfleet United vs Woking,Over 0.5/1.0 FH Goal Line,National League,1.475,n
28/01/2020,Ebbsfleet United vs Woking,Over 0.5/1.0 FH Goal Line,National League,1.475,n
28/01/2020,Jahn Regensburg vs Hannover 96,Over 0.5/1.0 FH Goal Line,2. Bundesliga,1.475,hw
30/01/2020,Ismaily vs El Entag El Harby,Under 1.0/1.5 FH Goal Line,Egypt,1.27,n
31/01/2020,AZ vs RKC Waalwijk,Over 0.5/1.0 FH Goal Line,Eredivisie,1.275,y
01/02/2020,Tonbridge Angels vs Wealdstone,Over 2.5 Goals,National League South,1.66,
01/02/2020,Albion Rovers vs Cove Rangers,Over 0.5/1.0 FH Goal Line,Scotland League Two,1.22,hw
01/02/2020,Albion Rovers vs Cove Rangers,Over 0.5/1.0 FH Goal Line,Scotland League Two,1.22,hw
01/02/2020,Annan Athletic vs Stenhousemuir,Over 0.5/1.0 FH Goal Line,Scotland League Two,1.39,y
01/02/2020,Sassuolo vs Roma,Over 3 Match Cards,Serie A,1.14,
01/02/2020,Elche vs Málaga,Under 2.5 Goals,Spain Segunda,1.44,
01/02/2020,Mainz 05 vs Bayern Munich,Over 2.5 Goals,Bundesliga,1.2,y
01/02/2020,Karlsruher SC vs Holstein Kiel,Over 0.5/1.0 FH Goal Line,2. Bundesliga,1.48,y
01/02/2020,Feyenoord vs Emmen,Over 0.5/1.0 FH Goal Line,Eredivisie,1.26,
01/02/2020,Perth Glory vs Melbourne Victory,Over 0.5/1.0 FH Goal Line,A-League,1.52,y
02/02/2020,Lecce vs Torino,Over 3 Match Cards,Serie A,1.09,
02/02/2020,Zwickau vs 1860 München,Over 0.5/1.0 FH Goal Line,3. Liga,1.5,
02/02/2020,Fortuna Sittard vs Heerenveen,Over 0.5/1.0 FH Goal Line,Eredivisie,1.375,
02/02/2020,VVV vs Utrecht,Over 0.5/1.0 FH Goal Line,Eredivisie,1.425,
02/02/2020,Basel vs St. Gallen,Goal In Each Half,Swiss Super,1.44,
02/02/2020,Basel vs St. Gallen,Over 0.5/1.0 FH Goal Line,Swiss Super,1.35,
