Goiás,Grêmio,38,7 December 2019
CSA,São Paulo,38,7 December 2019
Cuiabá,Coritiba,24,30 October 2019
RB Bragantino,Oeste,29,16 October 2019
São Bento,Coritiba,29,16 October 2019
Paraná,Brasil de Pelotas,29,16 October 2019
Londrina,Figueirense,29,16 October 2019
Criciúma,Vitória,29,16 October 2019
América Mineiro,Vila Nova,29,16 October 2019
CRB,Operário PR,29,16 October 2019
Ponte Preta,RB Bragantino,30,19 October 2019
Botafogo SP,Atlético GO,30,18 October 2019
Oeste,América Mineiro,30,19 October 2019
Vila Nova,Coritiba,30,19 October 2019
Paraná,Figueirense,30,20 October 2019
Operário PR,São Bento,30,20 October 2019
Criciúma,CRB,30,19 October 2019
Brasil de Pelotas,Sport Recife,30,20 October 2019
Vitória,Londrina,30,19 October 2019
Cuiabá,Guarani,30,18 October 2019
Ponte Preta,Vitória,31,27 October 2019
RB Bragantino,Vila Nova,31,26 October 2019
São Bento,Guarani,31,26 October 2019
Atlético GO,América Mineiro,31,26 October 2019
Coritiba,Operário PR,31,25 October 2019
Londrina,Oeste,31,26 October 2019
Figueirense,Criciúma,31,27 October 2019
Brasil de Pelotas,Cuiabá,31,26 October 2019
Sport Recife,Paraná,31,24 October 2019
CRB,Botafogo SP,31,25 October 2019
Guarani,Sport Recife,32,31 October 2019
Botafogo SP,Coritiba,32,1 November 2019
Oeste,CRB,32,2 November 2019
Vila Nova,Brasil de Pelotas,32,29 October 2019
Paraná,Londrina,32,29 October 2019
Operário PR,Atlético GO,32,2 November 2019
Criciúma,São Bento,32,2 November 2019
América Mineiro,Ponte Preta,32,2 November 2019
Vitória,Figueirense,32,2 November 2019
Cuiabá,RB Bragantino,32,2 November 2019
Ponte Preta,São Bento,33,6 November 2019
RB Bragantino,Guarani,33,6 November 2019
Oeste,Botafogo SP,33,5 November 2019
Atlético GO,Londrina,33,5 November 2019
Coritiba,Sport Recife,33,5 November 2019
Operário PR,Criciúma,33,6 November 2019
Figueirense,Vila Nova,33,6 November 2019
América Mineiro,Paraná,33,6 November 2019
Vitória,Brasil de Pelotas,33,5 November 2019
Cuiabá,CRB,33,6 November 2019
Guarani,Ponte Preta,34,9 November 2019
Botafogo SP,RB Bragantino,34,8 November 2019
São Bento,Cuiabá,34,9 November 2019
Vila Nova,Operário PR,34,9 November 2019
Paraná,Vitória,34,8 November 2019
Londrina,América Mineiro,34,9 November 2019
Figueirense,Coritiba,34,9 November 2019
Brasil de Pelotas,Oeste,34,9 November 2019
Sport Recife,Criciúma,34,9 November 2019
CRB,Atlético GO,34,9 November 2019
Ponte Preta,Figueirense,35,13 November 2019
Botafogo SP,Sport Recife,35,13 November 2019
Oeste,Atlético GO,35,13 November 2019
Vila Nova,Guarani,35,12 November 2019
Paraná,São Bento,35,13 November 2019
Operário PR,RB Bragantino,35,14 November 2019
Criciúma,Londrina,35,13 November 2019
Brasil de Pelotas,Coritiba,35,12 November 2019
Vitória,CRB,35,12 November 2019
Cuiabá,América Mineiro,35,13 November 2019
Guarani,Operário PR,36,15 November 2019
RB Bragantino,Criciúma,36,15 November 2019
